ID_SAEB;ID_REGIAO;ID_UF;ID_MUNICIPIO;ID_AREA;ID_ESCOLA;IN_PUBLICA;ID_LOCALIZACAO;ID_TURMA;ID_SERIE;ID_ALUNO;IN_SITUACAO_CENSO;IN_PREENCHIMENTO_LP;IN_PREENCHIMENTO_MT;IN_PREENCHIMENTO_CH;IN_PREENCHIMENTO_CN;IN_PRESENCA_LP;IN_PRESENCA_MT;IN_PRESENCA_CH;IN_PRESENCA_CN;ID_CADERNO_LP;ID_BLOCO_1_LP;ID_BLOCO_2_LP;ID_CADERNO_MT;ID_BLOCO_1_MT;ID_BLOCO_2_MT;ID_CADERNO_CH;ID_BLOCO_1_CH;ID_BLOCO_2_CH;NU_BLOCO_1_ABERTA_CH;NU_BLOCO_2_ABERTA_CH;ID_CADERNO_CN;ID_BLOCO_1_CN;ID_BLOCO_2_CN;ID_BLOCO_3_CN;NU_BLOCO_1_ABERTA_CN;NU_BLOCO_2_ABERTA_CN;TX_RESP_BLOCO1_LP;TX_RESP_BLOCO2_LP;TX_RESP_BLOCO1_MT;TX_RESP_BLOCO2_MT;TX_RESP_BLOCO1_CH;TX_RESP_BLOCO2_CH;CO_CONCEITO_Q1_CH;CO_CONCEITO_Q2_CH;TX_RESP_BLOCO1_CN;TX_RESP_BLOCO2_CN;TX_RESP_BLOCO3_CN;CO_CONCEITO_Q1_CN;CO_CONCEITO_Q2_CN;IN_PROFICIENCIA_LP;IN_PROFICIENCIA_MT;IN_PROFICIENCIA_CH;IN_PROFICIENCIA_CN;IN_AMOSTRA;ESTRATO;ESTRATO_CIENCIAS;PESO_ALUNO_LP;PROFICIENCIA_LP;ERRO_PADRAO_LP;PROFICIENCIA_LP_SAEB;ERRO_PADRAO_LP_SAEB;PESO_ALUNO_MT;PROFICIENCIA_MT;ERRO_PADRAO_MT;PROFICIENCIA_MT_SAEB;ERRO_PADRAO_MT_SAEB;PESO_ALUNO_CH;PROFICIENCIA_CH;ERRO_PADRAO_CH;PROFICIENCIA_CH_SAEB;ERRO_PADRAO_CH_SAEB;PESO_ALUNO_CN;PROFICIENCIA_CN;ERRO_PADRAO_CN;PROFICIENCIA_CN_SAEB;ERRO_PADRAO_CN_SAEB;IN_PREENCHIMENTO_QUESTIONARIO;IN_INSE;INSE_ALUNO;NU_TIPO_NIVEL_INSE;PESO_ALUNO_INSE;TX_RESP_Q01;TX_RESP_Q02;TX_RESP_Q03;TX_RESP_Q04;TX_RESP_Q05a;TX_RESP_Q05b;TX_RESP_Q05c;TX_RESP_Q06;TX_RESP_Q07a;TX_RESP_Q07b;TX_RESP_Q07c;TX_RESP_Q07d;TX_RESP_Q07e;TX_RESP_Q08;TX_RESP_Q09;TX_RESP_Q10a;TX_RESP_Q10b;TX_RESP_Q10c;TX_RESP_Q10d;TX_RESP_Q10e;TX_RESP_Q10f;TX_RESP_Q11a;TX_RESP_Q11b;TX_RESP_Q11c;TX_RESP_Q12a;TX_RESP_Q12b;TX_RESP_Q12c;TX_RESP_Q12d;TX_RESP_Q12e;TX_RESP_Q12f;TX_RESP_Q12g;TX_RESP_Q13a;TX_RESP_Q13b;TX_RESP_Q13c;TX_RESP_Q13d;TX_RESP_Q13e;TX_RESP_Q13f;TX_RESP_Q13g;TX_RESP_Q13h;TX_RESP_Q13i;TX_RESP_Q14;TX_RESP_Q15a;TX_RESP_Q15b;TX_RESP_Q16;TX_RESP_Q17;TX_RESP_Q18;TX_RESP_Q19;TX_RESP_Q20;TX_RESP_Q21a;TX_RESP_Q21b;TX_RESP_Q21c;TX_RESP_Q21d;TX_RESP_Q21e;TX_RESP_Q22a;TX_RESP_Q22b;TX_RESP_Q22c;TX_RESP_Q22d;TX_RESP_Q22e;TX_RESP_Q22f;TX_RESP_Q22g;TX_RESP_Q22h;TX_RESP_Q23a;TX_RESP_Q23b;TX_RESP_Q23c;TX_RESP_Q23d;TX_RESP_Q23e;TX_RESP_Q23f;TX_RESP_Q23g;TX_RESP_Q23h;TX_RESP_Q23i
2023;1;11;6322170;2;61400934;1;1;1522886;5;49408798;1;1;1;;;1;1;;;3;3;4;3;3;4;;;;;;;;;;;;DDCBDBACDAB;CCBADBABABA;DBDBCBDBBDB;BBAACCDDBBA;;;;;;;;;;1;1;;;0;632217031;;9,91948E+14;-1807766;412899;150389082;22747994;9,91948E+14;-1983812;465892;13908451;26039788;;;;;;;;;;;1;1;529;5;12399355878;B;D;C;E;.;.;.;E;B;B;.;B;B;F;A;A;.;.;.;C;.;A;B;B;B;*;.;A;.;.;.;B;B;B;.;.;B;B;B;B;.;.;B;A;C;C;.;B;C;.;A;.;.;.;D;D;D;D;.;.;.;C;C;C;C;.;.;C;.;.
2023;1;11;6322170;2;61400934;1;1;1522886;5;49408799;1;1;1;;;1;1;;;1;1;2;1;1;2;;;;;;;;;;;;ABCDABCDABC;ABCDABCDABC;ABCDAB.DABC;ABCDABCDABC;;;;;;;;;;1;1;;;0;632217031;;9,91948E+14;-2414402;494766;116967465;27258323;9,91948E+14;-209368;525551;132943732;29374269;;;;;;;;;;;1;0;;1;;A;B;A;A;A;A;A;B;.;.;.;.;.;B;C;A;A;A;A;A;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;C;.;.;D;.;B;A;C;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2023;1;11;6322170;2;61400934;1;1;1522886;5;49408800;1;1;1;;;1;1;;;17;3;6;17;3;6;;;;;;;;;;;;CAADABBCDBC;BABBDDCACAD;BDBCABADABB;BADADACADDB;;;;;;;;;;1;1;;;0;632217031;;9,91948E+14;-1648283;377355;159175537;20789756;9,91948E+14;-87979;389931;20079087;21794151;;;;;;;;;;;1;1;467;4;12399355878;B;B;A;C;A;A;A;D;B;B;.;.;.;F;F;C;B;B;C;C;B;A;A;A;B;A;D;B;B;B;D;B;B;A;B;B;A;B;A;A;A;B;.;D;B;A;A;A;C;B;D;D;D;C;D;C;D;C;C;A;B;B;B;B;B;B;C;C;B;C
2023;1;11;6322170;2;61400934;1;1;1522886;5;49408801;1;1;1;;;1;1;;;20;6;2;20;6;2;;;;;;;;;;;;CBDAAC*ADBD;AAADCDBDDBD;DDABACCCBDD;CACDCABBBCA;;;;;;;;;;1;1;;;0;632217031;;9,91948E+14;-2018204;40314;138795345;22210338;9,91948E+14;-369238;305198;22932681;17058227;;;;;;;;;;;1;1;677;7;12399355878;.;.;.;.;A;A;A;.;B;A;B;A;A;.;.;C;B;B;C;C;C;A;B;B;B;D;D;D;C;C;D;B;B;A;B;B;B;B;B;B;A;B;B;.;.;.;.;.;B;A;B;A;B;A;B;B;C;C;C;B;C;B;A;A;A;A;A;A;B;B
2023;1;11;6322170;2;61400934;1;1;1522886;5;49408802;1;1;1;;;1;1;;;16;2;5;16;2;5;;;;;;;;;;;;CACBDBCCDAD;ACDAC.ABDCA;BCCBCACBBDC;CABDABABCDC;;;;;;;;;;1;1;;;0;632217031;;9,91948E+14;-2215951;438142;127900798;24138716;9,91948E+14;-113056;390507;186774751;21826345;;;;;;;;;;;1;0;;1;;.;.;.;.;A;.;.;.;A;.;.;.;.;A;.;B;.;.;.;.;.;A;.;.;B;.;.;.;.;.;.;B;.;.;.;.;.;.;.;.;.;.;A;.;.;.;.;.;B;.;.;.;.;C;.;.;.;.;.;.;.;A;.;.;.;.;.;.;.;.
2023;1;11;6322170;2;61400934;1;1;1522886;5;49408803;1;1;1;;;1;1;;;18;4;7;18;4;7;;;;;;;;;;;;CACBDBAADBA;BADADBACBCC;BAABADDACDB;CCDDCAACCCB;;;;;;;;;;1;1;;;0;632217031;;9,91948E+14;-42499;349028;247643577;19229126;9,91948E+14;-1435078;473408;169754531;26459875;;;;;;;;;;;1;1;492;4;12399355878;A;B;A;C;A;A;A;C;B;B;A;A;.;.;.;.;.;.;.;.;.;.;.;.;B;.;C;B;B;B;D;B;B;B;B;A;A;B;B;B;B;B;.;D;B;A;A;A;C;C;C;A;D;B;D;D;D;A;C;B;B;B;B;A;A;A;C;A;A;B
2023;1;11;6322170;2;61400934;1;1;1522886;5;49408804;1;1;1;;;1;1;;;21;7;3;21;7;3;;;;;;;;;;;;DACAABCDACC;BAABDACDAAB;ADDDDDADDDD;DCAAADCDDDB;;;;;;;;;;1;1;;;0;632217031;;9,91948E+14;-179561;457539;151058797;25207362;9,91948E+14;-2046181;524898;135598562;29337771;;;;;;;;;;;1;1;353;2;12399355878;.;C;A;A;A;A;A;D;B;B;B;B;B;D;F;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;A;A;.;.;.;.;A;A;.;B;B;B;F;D;B;.;A;B;B;B;B;B;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B
2023;1;11;6322170;2;61400934;1;1;1522886;5;49409064;1;1;1;;;1;1;;;11;4;6;11;4;6;;;;;;;;;;;;CADBDBBADAC;CBDAAC*A*BD;CBACBDCBDBC;DDABACCCABD;;;;;;;;;;1;1;;;0;632217031;;9,91948E+14;-1194603;300576;184170294;16559743;9,91948E+14;-5337;362789;220134646;20277122;;;;;;;;;;;1;1;541;5;12399355878;A;B;A;A;A;A;A;A;B;B;A;A;A;F;F;A;C;C;C;C;B;A;A;B;C;D;*;B;B;B;D;B;B;B;*;A;*;B;B;B;A;B;B;D;A;B;B;A;A;A;B;*;D;A;B;D;A;D;C;C;C;C;C;C;D;*;.;C;D;B
2023;1;11;6322170;2;61400934;1;1;1522886;5;49409065;1;0;0;;;0;0;;;13;6;1;13;6;1;;;;;;;;;;;;...........;...........;...........;...........;;;;;;;;;;0;0;;;0;632217031;;;;;;;;;;;;;;;;;;;;;;0;0;;1;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2023;1;11;6322170;2;61400934;1;1;1522886;5;49409066;1;1;1;;;1;1;;;12;5;7;12;5;7;;;;;;;;;;;;CCBADCBCDDC;CACCDAADBCA;CACBCCDBACB;CDDADDBCCDB;;;;;;;;;;1;1;;;0;632217031;;9,91948E+14;-804477;315997;205663647;17409337;9,91948E+14;-462621;373231;224107416;20860749;;;;;;;;;;;1;1;511;5;12399355878;A;B;A;C;A;A;A;C;B;B;.;.;B;D;F;C;C;C;C;C;B;A;B;B;B;A;D;B;C;B;D;B;B;A;B;A;A;B;B;B;C;B;A;D;B;A;A;A;B;A;B;D;D;D;C;D;D;D;D;A;D;A;A;A;B;B;B;B;A;B
