ID_SAEB;ID_REGIAO;ID_UF;ID_MUNICIPIO;ID_AREA;ID_ESCOLA;IN_PUBLICA;ID_LOCALIZACAO;ID_TURMA;ID_SERIE;ID_ALUNO;IN_SITUACAO_CENSO;IN_PREENCHIMENTO_LP;IN_PREENCHIMENTO_MT;IN_PREENCHIMENTO_CH;IN_PREENCHIMENTO_CN;IN_PRESENCA_LP;IN_PRESENCA_MT;IN_PRESENCA_CH;IN_PRESENCA_CN;ID_CADERNO_LP;ID_BLOCO_1_LP;ID_BLOCO_2_LP;ID_CADERNO_MT;ID_BLOCO_1_MT;ID_BLOCO_2_MT;ID_CADERNO_CH;ID_BLOCO_1_CH;ID_BLOCO_2_CH;NU_BLOCO_1_ABERTA_CH;NU_BLOCO_2_ABERTA_CH;ID_CADERNO_CN;ID_BLOCO_1_CN;ID_BLOCO_2_CN;ID_BLOCO_3_CN;NU_BLOCO_1_ABERTA_CN;NU_BLOCO_2_ABERTA_CN;TX_RESP_BLOCO1_LP;TX_RESP_BLOCO2_LP;TX_RESP_BLOCO1_MT;TX_RESP_BLOCO2_MT;TX_RESP_BLOCO1_CH;TX_RESP_BLOCO2_CH;CO_CONCEITO_Q1_CH;CO_CONCEITO_Q2_CH;TX_RESP_BLOCO1_CN;TX_RESP_BLOCO2_CN;TX_RESP_BLOCO3_CN;CO_CONCEITO_Q1_CN;CO_CONCEITO_Q2_CN;IN_PROFICIENCIA_LP;IN_PROFICIENCIA_MT;IN_PROFICIENCIA_CH;IN_PROFICIENCIA_CN;IN_AMOSTRA;ESTRATO;ESTRATO_CIENCIAS;PESO_ALUNO_LP;PROFICIENCIA_LP;ERRO_PADRAO_LP;PROFICIENCIA_LP_SAEB;ERRO_PADRAO_LP_SAEB;PESO_ALUNO_MT;PROFICIENCIA_MT;ERRO_PADRAO_MT;PROFICIENCIA_MT_SAEB;ERRO_PADRAO_MT_SAEB;PESO_ALUNO_CH;PROFICIENCIA_CH;ERRO_PADRAO_CH;PROFICIENCIA_CH_SAEB;ERRO_PADRAO_CH_SAEB;PESO_ALUNO_CN;PROFICIENCIA_CN;ERRO_PADRAO_CN;PROFICIENCIA_CN_SAEB;ERRO_PADRAO_CN_SAEB;IN_PREENCHIMENTO_QUESTIONARIO;IN_INSE;INSE_ALUNO;NU_TIPO_NIVEL_INSE;PESO_ALUNO_INSE;TX_RESP_Q01;TX_RESP_Q02;TX_RESP_Q03;TX_RESP_Q04;TX_RESP_Q05a;TX_RESP_Q05b;TX_RESP_Q05c;TX_RESP_Q06;TX_RESP_Q07a;TX_RESP_Q07b;TX_RESP_Q07c;TX_RESP_Q07d;TX_RESP_Q07e;TX_RESP_Q08;TX_RESP_Q09;TX_RESP_Q10a;TX_RESP_Q10b;TX_RESP_Q10c;TX_RESP_Q10d;TX_RESP_Q10e;TX_RESP_Q10f;TX_RESP_Q11a;TX_RESP_Q11b;TX_RESP_Q11c;TX_RESP_Q12a;TX_RESP_Q12b;TX_RESP_Q12c;TX_RESP_Q12d;TX_RESP_Q12e;TX_RESP_Q12f;TX_RESP_Q12g;TX_RESP_Q13a;TX_RESP_Q13b;TX_RESP_Q13c;TX_RESP_Q13d;TX_RESP_Q13e;TX_RESP_Q13f;TX_RESP_Q13g;TX_RESP_Q13h;TX_RESP_Q13i;TX_RESP_Q14;TX_RESP_Q15a;TX_RESP_Q15b;TX_RESP_Q16;TX_RESP_Q17;TX_RESP_Q18;TX_RESP_Q19;TX_RESP_Q20;TX_RESP_Q21a;TX_RESP_Q21b;TX_RESP_Q21c;TX_RESP_Q21d;TX_RESP_Q21e;TX_RESP_Q22a;TX_RESP_Q22b;TX_RESP_Q22c;TX_RESP_Q22d;TX_RESP_Q22e;TX_RESP_Q22f;TX_RESP_Q22g;TX_RESP_Q22h;TX_RESP_Q23a;TX_RESP_Q23b;TX_RESP_Q23c;TX_RESP_Q23d;TX_RESP_Q23e;TX_RESP_Q23f;TX_RESP_Q23g;TX_RESP_Q23h;TX_RESP_Q23i;TX_RESP_Q24
2023;1;11;6322170;2;61400934;1;1;1704202;9;49408740;1;1;1;;;1;1;;;11;4;6;11;4;6;;;;;;;;;;;;ACBDCBABBDBAB;ADBCDCDBDACDA;DCBCADCABABCB;CCABDCADABADA;;;;;;;;;;1;1;;;0;632217031;;1,5E+15;-1252151;486431;180999781;2679912;1,5E+15;-558746;558319;218734766;31205749;;;;;;;;;;;1;1;527;5;1875;A;B;A;C;A;A;A;D;B;B;A;A;A;D;D;A;B;B;B;B;B;B;B;A;B;B;C;B;B;B;D;A;B;B;B;B;B;B;B;B;C;B;A;D;C;A;A;A;A;A;D;D;D;C;C;D;D;D;D;A;C;B;B;B;B;B;B;B;B;B;B
2023;1;11;6322170;2;61400934;1;1;1704202;9;49408741;1;0;0;;;0;0;;;20;6;2;20;6;2;;;;;;;;;;;;.............;.............;.............;.............;;;;;;;;;;0;0;;;0;632217031;;;;;;;;;;;;;;;;;;;;;;0;0;;1;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2023;1;11;6322170;2;61400934;1;1;1704202;9;49408742;1;0;0;;;0;0;;;21;7;3;21;7;3;;;;;;;;;;;;.............;.............;.............;.............;;;;;;;;;;0;0;;;0;632217031;;;;;;;;;;;;;;;;;;;;;;0;0;;1;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2023;1;11;6322170;2;61400934;1;1;1704202;9;49409136;1;1;1;;;1;1;;;5;5;6;5;5;6;;;;;;;;;;;;ACBDCADDACBDC;DCBBACCBDBADC;BBDCBACBBABAA;CCDBABCBDBCAB;;;;;;;;;;1;1;;;0;632217031;;1,5E+15;-597317;422826;217076788;23294906;1,5E+15;-1142734;63057;186094318;35244025;;;;;;;;;;;1;0;;1;;B;D;A;B;A;.;.;C;B;.;.;.;.;F;F;.;.;.;.;.;C;.;B;.;.;.;C;.;.;.;.;.;.;.;B;.;.;.;.;.;B;B;.;D;C;A;A;A;.;.;.;.;D;.;.;D;.;.;.;.;.;B;.;.;.;.;.;.;.;.;A
2023;1;11;6322170;2;61400934;1;1;1704202;9;49409137;1;0;0;;;0;0;;;15;1;4;15;1;4;;;;;;;;;;;;.............;.............;.............;.............;;;;;;;;;;0;0;;;0;632217031;;;;;;;;;;;;;;;;;;;;;;0;0;;1;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2023;1;11;6322170;2;61400934;1;1;1704202;9;49409138;1;0;0;;;0;0;;;17;3;6;17;3;6;;;;;;;;;;;;.............;.............;.............;.............;;;;;;;;;;0;0;;;0;632217031;;;;;;;;;;;;;;;;;;;;;;0;0;;1;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2023;1;11;6322170;2;61400934;1;1;1704202;9;49409139;1;0;0;;;0;0;;;9;2;4;9;2;4;;;;;;;;;;;;.............;.............;.............;.............;;;;;;;;;;0;0;;;0;632217031;;;;;;;;;;;;;;;;;;;;;;0;0;;1;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2023;1;11;6322170;2;61400934;1;1;1704202;9;49409140;1;1;1;;;1;1;;;6;6;7;6;6;7;;;;;;;;;;;;DDBACDDCADCCC;ABCBBCDDCADBC;DBCCCCADCCACC;ADCCAACABCADB;;;;;;;;;;1;1;;;0;632217031;;1,5E+15;-679467;449085;212550868;24741603;1,5E+15;-131613;417911;242608224;23358019;;;;;;;;;;;1;1;466;4;1875;B;C;A;C;A;.;.;C;B;B;.;.;.;B;C;.;.;C;.;.;.;A;A;A;B;A;D;B;B;B;D;A;B;B;A;B;B;B;B;A;B;B;.;D;B;A;B;A;B;A;D;A;C;B;A;.;D;D;C;A;B;B;A;B;A;B;B;B;A;A;A
2023;1;11;6322170;2;61400934;1;1;1704202;9;49409141;1;0;0;;;0;0;;;7;7;1;7;7;1;;;;;;;;;;;;.............;.............;.............;.............;;;;;;;;;;0;0;;;0;632217031;;;;;;;;;;;;;;;;;;;;;;0;0;;1;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2023;1;11;6322170;2;61400934;1;1;1704202;9;49409142;1;1;1;;;1;1;;;8;1;3;8;1;3;;;;;;;;;;;;CDBACCCADDDAA;CADDDAACBAAAA;ABBCBDDABCDDD;ABABADACBCDDC;;;;;;;;;;1;1;;;0;632217031;;1,5E+15;-1389998;513235;173405326;28275842;1,5E+15;-399231;421764;227650431;23573372;;;;;;;;;;;1;1;468;4;1875;A;B;A;.;A;A;A;C;B;B;A;A;A;B;D;B;A;C;C;C;B;A;B;B;B;B;D;B;B;B;D;A;B;B;A;B;A;B;B;A;C;B;A;D;B;A;B;A;B;A;C;D;B;A;A;C;A;A;A;A;A;B;B;A;C;C;B;A;A;A;C
