ID_SAEB;ID_SERIE;TP_DISCIPLINA;NU_BLOCO;NU_POSICAO;ID_ITEM;NU_DESCRITOR_HABILIDADE;TX_GABARITO;TP_ITEM;TP_ITEM_MODELO;A;B;C;B1;B2;B3
2023;2;LP;1;1;131475;H4;D;Resposta Objetiva;M3PL;2.643899811;-1.246496135;0.173010758;;;
2023;2;LP;1;1;135800;H3.1;A/B;Resposta Construída;MRG;2.359277706;;;-1.494441093;-1.046531267;-0.297927011
2023;2;LP;1;1;143333;H10;A/B;Produção Textual;MRG;2.518184451;;;-0.801163199;0.091258191;1.345140645
2023;2;LP;1;2;117433;H2.2;C;Resposta Objetiva;M3PL;2.16877881;-1.87423677;0.130002234;;;
2023;2;LP;1;3;132263;H7;D;Resposta Objetiva;M3PL;3.053304503;-0.203897228;0.21469998;;;
2023;2;LP;1;4;133034;H9;A;Resposta Objetiva;M3PL;1.449955847;-0.671752536;0.191736017;;;
2023;2;LP;1;5;117324;H5;D;Resposta Objetiva;M3PL;2.096955152;-0.741969171;0.209752884;;;
2023;2;LP;1;6;132405;H6;B;Resposta Objetiva;M3PL;2.458948714;0.277706628;0.320031639;;;
2023;2;LP;1;7;132042;H5;A;Resposta Objetiva;M3PL;1.579025893;-0.255898651;0.236938344;;;
2023;2;LP;1;8;117538;H8.1;C;Resposta Objetiva;M3PL;1.671794134;0.93781765;0.189418635;;;
2023;2;LP;2;1;131794;H1.2;D;Resposta Objetiva;M3PL;2.705608558;-0.778587625;0.177058878;;;
2023;2;LP;2;1;143322;H3.2;A/B;Resposta Construída;MRG;2.890744975;;;-1.554620937;-1.18936147;-0.646250341
2023;2;LP;2;2;117535;H2.1;D;Resposta Objetiva;M3PL;2.19373669;-1.595744612;0.064481608;;;
2023;2;LP;2;3;132356;H5;C;Resposta Objetiva;M3PL;3.225540548;-0.085294915;0.269123145;;;
2023;2;LP;2;4;133714;H7;C;Resposta Objetiva;M3PL;1.379963018;0.333296408;0.201681974;;;
